Naturalidade,lat,lon
Porteirinha,-15.7420889,-43.0286046
Bocaiúva,-17.1160208,-43.8122678
Cláudio,-20.4448485,-44.7655217
Pedro Leopoldo,-19.617778,-44.043055
Itamarandiba,-17.8574369,-42.8596742
Para de Minas,-19.8668656,-44.5912664
Porto Velho,-8.7494525,-63.8735438
Registro,-24.497942,-47.844895
Porto Seguro,-16.443473,-39.064251
Itajubá,-22.4238234,-45.4524156
São Domingos do Prata,-19.8671078,-42.9658318
Presidente Olegário,-18.415,-46.419723
Conceição dos Ouros,-22.4124143,-45.797067
Fortaleza,-3.7304512,-38.5217989
Tucuruí,-3.766334,-49.6663654
Duas Barras,-22.0522519,-42.5194705
Estrela Dalva,-21.741666,-42.460833
Carlos Chagas,-17.7030797,-40.7632936
Astolfo Dutra,-21.3132636,-42.8624102
Novo Repartimento,-4.2519172,-49.9524257
Bom Jesus do Itabapoana,-21.1351354,-41.6798294
São José do Rio Preto,-20.8125851,-49.3804212
Araraquara,-21.7886713,-48.1773096
Miraí,-21.1957417,-42.6125153
Caeté,-19.897777,-43.670278
Igaratinga,-19.955278,-44.7089254
Ponto dos Volantes,-16.7532049,-41.5044548
Tatui,-23.3489848,-47.8490165
Matão,-21.6033611,-48.3660603
Viradouro,-20.8726051,-48.2968122
Capitão Eneas,-16.3236018,-43.7154584
Capitão Enéas,-16.3236018,-43.7154584
Mauá,-23.6669527,-46.4616922
Cambuí,-22.6122501,-46.0572137
Janaúba,-15.8103735,-43.3052119
Manhuaçú,-20.2574434,-42.0340769
Ilhéus,-14.792599,-39.0453843
Uba,-19.762897,-47.9659761
Borda da Mata,-22.274167,-46.165278
Muriae,-21.1313485,-42.3628918
Buritizeiro,-17.3667765,-44.9647781
Mococa,-21.464731,-47.002405
Muqui,-20.9509368,-41.3444285
Bragança Paulista,-22.9520235,-46.5418586
Não Informado,-12.999857,-38.5153912
Lagoa da Prata,-20.022778,-45.5440462
Itambacuri,-18.0391974,-41.6751876
Pará de Minas-Mg,-19.8668656,-44.5912664
São Gotardo,-19.3168844,-46.0476596
Sorocaba,-23.5003451,-47.4582864
Dores do Indaiá,-19.4636451,-45.60166
Uberlandia,-18.9188041,-48.2767837
Rio Paranaíba,-19.1965275,-46.2411395
Patrocínio,-18.9408294,-46.9926624
Piumhi,-20.4675258,-45.9576125
Campo Grande,-20.4640173,-54.6162947
Angra dos Reis,-23.1555405,-44.2344809
Coromandel,-18.473889,-47.200278
Dores de Campos,-21.107222,-44.0225
Itatiba,-23.0055542,-46.8397726
Carmo do Cajuru,-20.184444,-44.770834
Mantena,-18.7809937,-40.9808279
Divinopolis,-20.1597921,-44.8739341
Cruzilia,-21.838333,-44.808056
Mogi Mirim,-22.433123,-46.958246
Itumbiara,-18.4135862,-49.2172596
Campos do Jordão,-22.738299,-45.5903769
Botuporã,-13.3783163,-42.5208018
Guarulhos,-23.4675941,-46.5277704
Coração de Jesus,-16.6888187,-44.3577401
Ituiutaba,-18.9691887,-49.4639335
Sacramento,-19.8652854,-47.4402746
Varzea da Palma,-17.5983328,-44.7317086
João Pinheiro,-17.742777,-46.175278
Cristais,-20.875834,-45.518611
Matutina,-19.221956,-45.9701654
Lagoa Formosa,-18.7741896,-46.4082511
Guaxupé,-21.3087615,-46.7190609
Capitólio,-20.6114193,-46.1326543
Santa Rita do Passa Quatro,-21.7103738,-47.4777943
Timoteo,-19.5771395,-42.6436108
Botucatu,-22.8879628,-48.4410712
Silvianópolis,-22.029723,-45.835277
Caconde,-21.5281123,-46.6434015
Campo Formoso,-10.51055,-40.320031
Serra do Salitre,-19.1101839,-46.6809858
Mogi-Mirim,-22.433123,-46.958246
São Domingos das Dores,-19.5281943,-42.0132239
Trizidela do Vale,-4.5694816,-44.6144214
Cássia,-20.5837538,-46.9219923
Romaria,-18.8823522,-47.5854354
Buritis,-15.621389,-46.423889
Arinos,-15.917223,-46.106111
Bocaiuva,-17.1160208,-43.8122678
Santa Luzia,-19.7702097,-43.8505291
Lavras,-21.2425512,-44.9991978
Perdizes,-19.3503361,-47.2938235
Tiros,-19.003889,-45.963611
Cianorte,-23.662036,-52.6103989
Cunha,-23.07753,-44.9567436
Campos Altos,-19.696389,-46.171389
Americana,-22.7392463,-47.3306032
Maringá,-23.425269,-51.9382078
Jequié,-13.8604033,-40.0719627
Jacutinga,-22.285833,-46.612222
Lagoa Santa,-19.6357376,-43.8966132
Heliodora,-22.0675,-45.542222
Goiania,-16.680882,-49.2532691
Franco da Rocha,-23.3328038,-46.724446
Barretos,-20.5531437,-48.5697509
Amparo,-22.70111,-46.76444
Arapuá,-19.034444,-46.155556
Riacho de Santana,-13.6100985,-42.9355254
Socorro,-22.5902619,-46.5249112
Irecê,-11.3034965,-41.8557929
Niteroi,-22.8884,-43.1147
Guimarânia,-18.8442251,-46.7925141
Jati,-7.6894344,-39.006074
Araçatuba,-21.207992,-50.4390225
São Simão,-21.4800208,-47.5531095
Presidente Prudente,-22.1225167,-51.3882528
Mogi das Cruzes,-23.5234284,-46.1926671
Novo Hamburgo,-29.6905705,-51.1429035
Valinhos,-22.97056,-46.99583
Ladainha,-17.627754,-41.738196
Itanhandu,-22.2957913,-44.9366732
São Gabriel,-30.334214,-54.3227149
Turmalina,-17.286102,-42.7312574
Elói Mendes,-21.6094466,-45.5660211
Nepomuceno,-21.232744,-45.2352276
Malhada,-14.3379191,-43.7716651
Batatais,-20.892867,-47.592149
Santa Rosa da Serra,-19.5271986,-45.9659869
Caputira,-20.171945,-42.270278
Poção de Pedras,-4.751125,-44.9430514
Tarumirim,-19.2818607,-42.0070412
Ibia,-19.4771843,-46.5386956
Vespasiano,-19.6940958,-43.9186521
Teixeira de Freitas,-17.5384774,-39.7451701
Jaboticabal,-21.252037,-48.325223
Rio Paranaiba,-19.1965275,-46.2411395
Ipanema,-19.7999954,-41.7138807
Taboão da Serra,-23.6121912,-46.7790539
Araras,-22.3569192,-47.3838766
Salesopolis,-23.528805,-45.84653
Campos Gerais,-21.2333342,-45.7584127
Luz,-19.7903123,-45.6818948
Timbauba,-7.5118822,-35.316076
Lagamar,-18.1789844,-46.8077038
Patrocinio,-18.9408294,-46.9926624
São Joaquim da Barra,-20.5814993,-47.8608238
Atibaia,-23.1177393,-46.5547861
Anápolis,-16.3332828,-48.9525756
São Sebastião do Paraíso,-20.9124331,-46.9823296
Porto Ferreira,-21.8529134,-47.4794943
São João do IVaí,-23.9914063,-51.8232148
Alto Rio Doce,-21.0239537,-43.4133507
Toyota,-23.1383211,-47.2481172
Espírito Santo do Pinhal,-22.1929522,-46.7470021
Bambui,-20.0131996,-45.9777034
Jandaia do Sul,-23.6003907,-51.645674
Brotas de Macaubas,-12.0019007,-42.6257506
Aparecida de Goiânia,-16.8226769,-49.2452546
Presidente Olegario,-18.415,-46.419723
Ariquemes,-9.9076522,-63.033069
Cedro do Abaeté,-19.148333,-45.711389
São Bento do Sapucaí,-22.6884605,-45.7329767
Pedreiras,-4.5687989,-44.6003029
São João da Ponte,-15.9283299,-44.0078035
Anapólis,-16.3332828,-48.9525756
Pirassununga,-21.9980468,-47.4280861
Piraí do Sul,-24.5346602,-49.9399216
Januária,-15.4875,-44.361111
Carmo do Paranaiba,-18.9992327,-46.306916
Formosa,-15.5492443,-47.3301212
Assis,-22.6620892,-50.420623
Cornélio Procópio,-23.1825218,-50.6499263
Rio Vermelho,-16.4603533,-54.6397099
Padre Bernardo,-15.1676411,-48.2840561
Palmeira dos Indios,-9.4076249,-36.6323616
Araguari,-18.6511256,-48.1933764
Monte Carmelo,-18.7260939,-47.4958859
Jurema,-9.0315557,-43.186818
Vitória da Conquista,-14.8567487,-40.8414804
São Gonçalo dos Campos,-12.4339991,-38.9488082
Ubatuba,-23.433162,-45.083415
Paragominas,-2.99564,-47.3548942
Marituba,-1.3595306,-48.3361504
Governador Luiz Rocha,-5.470776,-44.0720572
Araponga,-20.6662266,-42.5218021
Queimados,-22.7156978,-43.555754
São João da Boa VIsta,-21.9687099,-46.7969216
Paratinga,-12.692459,-43.1805318
Almenara,-16.1753775,-40.6916675
Riachinho,-16.2212448,-45.9997305
Guaianases - Sp,-23.5440052,-46.4115152
Barueri,-23.5112184,-46.8764612
Itapecerica da Serra,-23.7176303,-46.8492435
Central,-11.1338739,-42.1095822
Guarujá,-23.9927768,-46.2558332
Além Paraíba,-21.8760576,-42.6810473
Colatina,-19.5346732,-40.6287836
Rio Novo do Sul,-20.8641487,-40.9384378
Urucânia,-20.350833,-42.739444
Camaquã,-30.8524752,-51.8075619
Porto Feliz,-23.2110713,-47.5247163
Barra Mansa,-22.4852784,-44.19707
Três Rios,-22.1167884,-43.2087226
Santa Margarida,-20.3817696,-42.2522123
Nazareno,-21.2189807,-44.6151354
Eunápólis,-16.3766148,-39.586449
Ibatiba,-20.2342792,-41.5082981
Alfredo Chaves,-28.9351239,-51.5519175
Belo Vale,-20.407778,-44.024167
Boston,6.2525506,-75.5589541
Peabiru,-23.9142123,-52.3455598
Mirassol,-20.8141411,-49.507449
Itaú de Minas,-20.739722,-46.752222
Macaé,-22.2828305,-41.9649091
Vassouras,-22.4093928,-43.6609318
Mãe do Rio,-2.0458692,-47.5522076
Miguel Pereira,-22.4539417,-43.4691978
Ouro Fino,-22.283056,-46.369167
Quirinópolis,-18.4471859,-50.4546981
Peçanha,-18.5479498,-42.5590434
Sinop,-11.857701,-55.4967824
Cruzeiro,-22.5783685,-44.9642044
Araçuaí,-16.8484451,-42.0661868
São Brás do Suaçuí,-20.625,-43.948889
Itaocara,-21.6765,-42.0815
Maria da Fé,-22.3081652,-45.3752771
Baependi,-21.9575733,-44.8891463
Serrania,-21.547906,-46.0404553
Dores do Turvo,-20.975278,-43.188889
Lisboa,-30.0853609,-51.0497293
Porto Alegre,-30.0324999,-51.2303767
Libreville,-22.8584984,-43.4935574
Conceição de Ipanema,-19.9290384,-41.6905072
Eunápolis,-16.3766148,-39.586449
Bom Jardim,-3.54129,-45.606004
Maceió,-9.6476843,-35.7339264
Duque de Caxias,-22.7896225,-43.309929
Cariacica,-20.263202,-40.416549
Asunción,-25.3024981,-57.6356889
Casa Branca,-21.7743137,-47.0852175
Abadia dos Dourados,-18.4911191,-47.4063589
Três Pontas,-21.3686224,-45.5122937
Iraí de Minas,-18.9865339,-47.4642202
Campina Verde,-19.535277,-49.486389
Bebedouro,-20.949077,-48.479083
Santa VItória,-18.8465718,-50.1292823
Paraguacu,-21.547222,-45.7375
Santa Cruz das Palmeiras,-21.823475,-47.248023
Virgolândia,-18.4760135,-42.3069186
Capelinha,-17.693889,-42.518611
Botumirim,-16.862778,-43.011111
San Remo,-22.5924322,-46.5174847
Rondonópolis,-16.4603533,-54.6397099
Tangará da Serra,-14.6213903,-57.4907268
Santo Ângelo,-28.3000481,-54.2669971
Fernandópolis,-20.2825647,-50.2500762
Campo Erê,-26.3947432,-53.0790495
Prados,-21.0572943,-44.0788784
Nova Iguaçu,-22.7592175,-43.4508728
Ilhabela,-23.816628,-45.368685
Mutum,-19.817223,-41.438333
Cachoeira Alta,-18.7618269,-50.9432431
Aimorés,-19.4917754,-41.0615603
Santos Dumont,-21.455867,-43.5522107
Entre Rios,-11.9423743,-38.0836985
Itirapina,-22.2536514,-47.8212546
Araguaína,-7.193241,-48.2018597
Ponta Grossa,-25.0891685,-50.1601812
Paraiso do Tocantins,-10.1752474,-48.886759
Rio Verde,-17.7921255,-50.9191219
São Lourenço,-22.116389,-45.054167
Catanduva,-21.1331035,-48.9712817
São Tiago,-20.913056,-44.509167
Barra de São Francisco,-18.7570902,-40.8916119
Tupã,-21.9349129,-50.5141255
Valença,-13.3723582,-39.0694243
Mimoso do Sul,-21.0628724,-41.3640478
Santa Rosa de VIterbo,-21.4869452,-47.3654908
Cuiabá,-15.5986686,-56.0991301
Tiradentes,-21.1104688,-44.1742937
Urânia,-20.244491,-50.6450868
Ceres,-15.3103568,-49.6032054
Piranguinho,-22.4029372,-45.5338952
Guanhaes,-18.7753627,-42.9340634
Aragarças,-15.8957166,-52.2514538
São Luís,-2.5295265,-44.2963942
Capanema,-25.6704878,-53.8083036
Carmésia,-19.0854535,-43.1392003
Nova Resende,-21.1263862,-46.424537
Bicas,-21.7213723,-43.0604327
Salinas,-16.1699073,-42.2910368
Machacalis,-17.0784105,-40.7175983
Córrego Novo,-19.832223,-42.395833
Ibertioga,-21.431111,-43.966111
Traipu,-9.967583,-37.0015357
Barroso,-21.187137,-43.9771259
São Roque de Minas,-20.245277,-46.365833
São Gabriel da Palha,-19.0148349,-40.539464
Piedade de Ponte Nova,-20.245333,-42.7343783
Rio Espera,-20.8571756,-43.4729342
Abaeté,-19.1566833,-45.4481213
Estrela do Norte,-22.4886301,-51.6606857
Bonfinópolis de Minas,-16.5660011,-45.98645
Cachoeira Paulista,-22.6605578,-45.0081689
Tupaciguara,-18.5932122,-48.6999014
Rio Pomba,-21.275,-43.178889
Recife,-8.0584933,-34.8848193
Inhumas,-16.3610569,-49.500111
Capinópolis,-18.682778,-49.569723
Goianésia,-15.3118269,-49.1162001
Bueno Brandão,-22.441421,-46.3475825
Jerônimo Monteiro,-20.7881687,-41.3920954
Areal,-22.2314922,-43.1056264
Brás Pires,-20.8483109,-43.2430524
Coxim,-18.504915,-54.7450251
Varzelândia,-15.701667,-44.027223
Iguatama,-20.174445,-45.711111
Santa Maria do Salto,-16.2490112,-40.1484503
Berilo,-16.9515764,-42.4643732
Itapetinga,-15.2454478,-40.2460053
Santa Helena de Goiás,-17.8115199,-50.5976641
Lucélia,-21.7211293,-51.0188
São José da Varginha,-19.7087286,-44.5577812
Ji-Parana,-10.8778148,-61.9277854
Miradouro,-20.8905837,-42.3434785
Cacoal,-11.4333,-61.4420502
Ibirá,-21.0815104,-49.2424619
Guarapuava,-25.3950986,-51.4622016
Caçador,-26.7737784,-51.0134844
Moscou,-27.0704774,-52.6119243
Piedade dos Gerais,-20.471111,-44.226945
Caculé,-14.4990734,-42.2233006
Conceição do Rio Verde,-21.881078,-45.0868526
Várzea Paulista,-23.2113889,-46.8283333
Ivinhema,-22.302254,-53.8276006
Senador Firmino,-20.9169703,-43.1001236
Ecoporanga,-18.3720918,-40.8321351
Aracaju,-10.9162061,-37.0774655
Igarapava,-20.0411748,-47.7476682
